Number	Corpus	Prefix	Construction	Number	Negation	Intensifier
305	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
306	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
307	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
308	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
309	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
310	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
311	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
312	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
313	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
314	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
315	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	No negation	No intensifier
316	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
317	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
318	Modern subcorpus	V	NPnom V в NPacc (tangle into)	No direct object	Negation	No intensifier
319	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
320	Modern subcorpus	V	NPnom V NPacc (tangle into)	Plural	No negation	No intensifier
321	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
322	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
323	Modern subcorpus	V	NPnom V Vinf NPacc (tangle into)	Plural	Negation	No intensifier
324	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
325	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
326	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
327	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
328	Modern subcorpus	V	NPnom V Vinf NPacc (tangle into)	Plural	Negation	No intensifier
329	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
330	Modern subcorpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
331	Modern subcorpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
332	Modern subcorpus	V	NPnom V NPacc ADV (tangle into)	Singular	Negation	No intensifier
333	Modern subcorpus	V	Conj V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
334	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
335	Modern subcorpus	V	NPnom V Vinf NPacc (tangle into)	Singular	Negation	No intensifier
336	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
337	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
338	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
339	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
340	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
341	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
342	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
343	Modern subcorpus	V	NPnom V Vinf NPacc (tangle into)	Singular	Negation	No intensifier
344	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
345	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
346	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
347	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
348	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
349	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
350	Modern subcorpus	V	NPnom V NPacc ADV (tangle into)	Singular	No negation	No intensifier
351	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
352	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
353	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
354	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
355	Modern subcorpus	V	NPnom V NPacc (tangle into)	Plural	No negation	No intensifier
356	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
357	Modern subcorpus	V	NPnom V Vinf NPacc (tangle into)	Plural	No negation	No intensifier
358	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
359	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
360	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
361	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
362	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
363	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
364	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
365	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
366	Modern subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
367	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
368	Modern subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
369	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
370	Modern subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
371	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
372	Old subcorpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
373	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
374	Old subcorpus	V	NPnom V NPacc (tangle into)	Singular	No negation	No intensifier
375	Old subcorpus	V	NPnom V NPacc (tangle into)	Singular	No negation	No intensifier
376	Old subcorpus	V	NPnom V в NPacc (tangle into)	No direct object	Negation	No intensifier
377	Old subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
378	Old subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
379	Old subcorpus	V	NPnom V Vinf NPacc (tangle into)	Plural	No negation	No intensifier
380	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
381	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
382	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
383	Old subcorpus	V	NPnom V Vinf NPacc (tangle into)	Singular	Negation	No intensifier
384	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
385	Old subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
386	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
387	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
388	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	всё больше
389	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
390	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
391	Old subcorpus	V	Conj V NPacc (tangle into)	Singular	Negation	No intensifier
392	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
393	Old subcorpus	V	NPnom V NPacc (tangle into)	Singular	No negation	No intensifier
394	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
395	Old subcorpus	V	Conj V NPacc (tangle into)	Singular	No negation	No intensifier
396	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
397	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
398	Old subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
399	Old subcorpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
400	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
401	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
402	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
403	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
404	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
405	Old subcorpus	V	NPnom V NPacc в NPacc (stare into)	Plural	No negation	No intensifier
406	Old subcorpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
407	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
408	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
409	Old subcorpus	V	NPnom V NPacc (tangle into)	Plural	No negation	No intensifier
410	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
411	Old subcorpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
412	Old subcorpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
413	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
414	Newspaper corpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
415	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
416	Newspaper corpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
417	Newspaper corpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
418	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
419	Newspaper corpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
420	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
421	Newspaper corpus	V	Conj V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
422	Newspaper corpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
423	Newspaper corpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
424	Newspaper corpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
425	Newspaper corpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
426	Newspaper corpus	V	NPnom V NPacc (tangle into)	Plural	No negation	No intensifier
427	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
428	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
429	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
430	Newspaper corpus	V	NPnom V NPacc (tangle into)	Plural	Negation	No intensifier
431	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
432	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
433	Newspaper corpus	V	NPnom V Vinf NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
434	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
435	Newspaper corpus	V	NPnom V NPacc (tangle into)	Singular	Negation	No intensifier
436	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
437	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
438	Newspaper corpus	V	NPnom V NPacc в NPacc (tangle into)	Plural	Negation	No intensifier
439	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
440	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
441	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	вконец
442	Modern subcorpus	Za	NPnom V NPacc (mix up)	Singular	No negation	так
443	Modern subcorpus	Za	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
444	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	вконец
445	Modern subcorpus	Za	NPnom V Vinf NPacc (confuse)	Singular	No negation	No intensifier
446	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
447	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	вконец
448	Modern subcorpus	Za	Conj V NPacc NPins (confuse)	Singular	No negation	ещё больше
449	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	окончательно
450	Modern subcorpus	Za	NPnom V (confuse)	No direct object	No negation	ещё больше
451	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
452	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
453	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
454	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	сильно
455	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
456	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
457	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
458	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
459	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
460	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
461	Modern subcorpus	Za	NPnom V (confuse)	No direct object	No negation	No intensifier
462	Modern subcorpus	Za	Conj V NPacc в NPacc (tangle into)	Singular	Negation	No intensifier
463	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
464	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
465	Modern subcorpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
466	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
467	Modern subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	No negation	No intensifier
468	Modern subcorpus	Za	NPnom V NPacc (mix up)	Singular	Negation	No intensifier
469	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
470	Modern subcorpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
471	Modern subcorpus	Za	NPnom V (confuse)	No direct object	No negation	No intensifier
472	Modern subcorpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
473	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
474	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	окончательно
475	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
476	Modern subcorpus	Za	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
477	Modern subcorpus	Za	NPnom V Vinf NPacc (confuse)	Singular	No negation	No intensifier
478	Modern subcorpus	Za	NPnom V NPacc в NPloc (tangle into)	Plural	No negation	No intensifier
479	Modern subcorpus	Za	NPnom V Vinf NPacc (confuse)	Singular	No negation	No intensifier
480	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
481	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
482	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
483	Modern subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	No negation	окончательно
484	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
485	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
486	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	окончательно
487	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
488	Modern subcorpus	Za	NPnom V Vinf NPacc (cover)	Plural	No negation	No intensifier
489	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
490	Modern subcorpus	Za	NPnom V Vinf (confuse)	No direct object	No negation	No intensifier
491	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
492	Modern subcorpus	Za	NPnom V Vinf (confuse)	No direct object	No negation	No intensifier
493	Modern subcorpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
494	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	Negation	больше
495	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
496	Modern subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
497	Modern subcorpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
498	Modern subcorpus	Za	NPnom V (confuse)	No direct object	Negation	No intensifier
499	Modern subcorpus	Za	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
500	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	No negation	No intensifier
501	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
502	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
503	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
504	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
505	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
506	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
507	Old subcorpus	Za	Conj V NPacc (tangle)	Plural	No negation	No intensifier
508	Old subcorpus	Za	NPnom V (confuse)	No direct object	No negation	No intensifier
509	Old subcorpus	Za	NPnom V (confuse)	No direct object	No negation	No intensifier
510	Old subcorpus	Za	NPnom V NPacc в NPacc (tangle)	Plural	No negation	No intensifier
511	Old subcorpus	Za	NPnom V NPacc c NPins (tangle)	Singular	No negation	No intensifier
512	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
513	Old subcorpus	Za	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
514	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
515	Old subcorpus	Za	NPnom V Vinf NPacc (confuse)	Plural	No negation	No intensifier
516	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
517	Old subcorpus	Za	NPnom V NPacc в NPloc (tangle)	Plural	No negation	No intensifier
518	Old subcorpus	Za	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
519	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
520	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
521	Old subcorpus	Za	NPnom V NPacc в NPacc (tangle into)	Singular	No negation	No intensifier
522	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
523	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
524	Old subcorpus	Za	NPnom V NPacc в NPacc (tangle into)	Plural	No negation	No intensifier
525	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
526	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
527	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	Negation	No intensifier
528	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
529	Old subcorpus	Za	NPnom V NPacc (tangle)	Plural	No negation	No intensifier
530	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
531	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	No negation	No intensifier
532	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
533	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
534	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	вконец
535	Old subcorpus	Za	Conj V NPacc NPins (confuse)	Singular	Negation	No intensifier
536	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	всё больше
537	Old subcorpus	Za	NPnom V Vinf NPacc (confuse)	Singular	No negation	No intensifier
538	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
539	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
540	Old subcorpus	Za	NPnom V Vinf NPacc (confuse)	Singular	Negation	No intensifier
541	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
542	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	Negation	No intensifier
543	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	Negation	No intensifier
544	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё более
545	Old subcorpus	Za	NPnom V (confuse)	No direct object	No negation	No intensifier
546	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	ещё более
547	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	чрезвычайно
548	Old subcorpus	Za	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
549	Old subcorpus	Za	NPnom V NPacc (tangle)	Plural	No negation	No intensifier
550	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	ещё более
551	Old subcorpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
552	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Plural	No negation	No intensifier
553	Old subcorpus	Za	NPnom V NPacc NPins (confuse)	Singular	No negation	No intensifier
554	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
555	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
556	Newspaper corpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
557	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	так
558	Newspaper corpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
559	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё сильнее
560	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
561	Newspaper corpus	Za	NPnom V (confuse)	No direct object	No negation	ещё более
562	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
563	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
564	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
565	Newspaper corpus	Za	NPnom V Vinf NPacc (confuse)	Singular	Negation	No intensifier
566	Newspaper corpus	Za	NPnom V NPacc (tangle)	Singular	No negation	ещё более
567	Newspaper corpus	Za	NPnom V Vinf NPacc NPins (confuse)	Singular	Negation	No intensifier
568	Newspaper corpus	Za	Conj V NPacc (confuse)	Singular	Negation	No intensifier
569	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	совсем
570	Newspaper corpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
571	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
572	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
573	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
574	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
575	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
576	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
577	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
578	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	ещё сильнее
579	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
580	Newspaper corpus	Za	NPnom V Vinf NPacc (confuse)	Plural	Negation	No intensifier
581	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
582	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
583	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
584	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	окончательно
585	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
586	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	сильнее
587	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
588	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
589	Newspaper corpus	Za	NPnom V NPacc NPins (confuse)	Plural	No negation	No intensifier
590	Newspaper corpus	Za	NPnom V (confuse)	No direct object	No negation	No intensifier
591	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
592	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
593	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
594	Newspaper corpus	Za	NPnom V NPacc (tangle)	Singular	No negation	ещё сильнее
595	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
596	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
597	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
598	Newspaper corpus	Za	NPnom V Vinf NPacc (tangle)	Singular	No negation	No intensifier
599	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
600	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
601	Newspaper corpus	Za	NPnom V (confuse)	No direct object	No negation	ещё больше
602	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
603	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
604	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
605	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
606	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё более
607	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
608	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё более
609	Newspaper corpus	Za	NPnom V NPacc NPins (confuse)	Singular	Negation	No intensifier
610	Newspaper corpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
611	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
612	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
613	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
614	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	всё более
615	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
616	Newspaper corpus	Za	NPnom V NPacc (confuse)	No direct object	No negation	No intensifier
