Number	Corpus	Prefix	Construction	Number	Negation	Intensifier
74	Old subcorpus	S	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
75	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
76	Old subcorpus	S	NPnom V NPacc (tangle)	Singular	No negation	No intensifier
77	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
78	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
79	Old subcorpus	S	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
80	Old subcorpus	S	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
81	Old subcorpus	S	NPnom V (confuse)	No direct object	No negation	No intensifier
82	Old subcorpus	S	Conj V NPacc (tangle)	Plural	No negation	No intensifier
83	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
84	Old subcorpus	S	NPnom V Vinf NPacc (mix up)	Plural	Negation	No intensifier
85	Old subcorpus	S	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
86	Old subcorpus	S	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
87	Old subcorpus	S	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
88	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	совершенно
89	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
90	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
91	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
92	Old subcorpus	S	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
93	Old subcorpus	S	NPnom V NPacc (tangle)	Plural	No negation	No intensifier
94	Old subcorpus	S	NPnom V NPacc (tangle)	Plural	Negation	No intensifier
95	Old subcorpus	S	NPnom V NPacc с NPins (mix up)	Plural	No negation	No intensifier
96	Old subcorpus	S	NPnom V NPacc NPins (tangle)	Plural	No negation	No intensifier
97	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	настолько… что
98	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
99	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
100	Old subcorpus	S	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
101	Old subcorpus	S	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
102	Old subcorpus	S	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
103	Old subcorpus	S	NPnom V NPacc NPins (tangle)	Plural	No negation	No intensifier
104	Old subcorpus	S	NPnom V NPacc NPins (confuse)	Singular	No negation	No intensifier
105	Old subcorpus	S	NPnom V NPacc NPins (mix up)	Plural	No negation	No intensifier
106	Old subcorpus	S	NPnom V NPacc NPins (confuse)	Plural	No negation	No intensifier
107	Newspaper corpus	S	NPnom V NPacc по NPdat (tangle)	Plural	No negation	No intensifier
108	Newspaper corpus	S	NPnom V NPacc NPdat (tangle)	Singular	No negation	No intensifier
109	Newspaper corpus	S	NPnom V NPacc (tangle)	Plural	No negation	No intensifier
110	Newspaper corpus	S	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
111	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
112	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
113	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
114	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	Negation	No intensifier
115	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	Negation	No intensifier
116	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
117	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
118	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	Negation	No intensifier
119	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
120	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
121	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
122	Modern subcorpus	Simplex	NPnom V Vinf (mix up)	No direct object	Negation	No intensifier
123	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
124	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
125	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
126	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
127	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
128	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
129	Modern subcorpus	Simplex	NPnom V Vinf NPacc и NPacc (mix up)	Plural	Negation	No intensifier
130	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
131	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
132	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
133	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
134	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
135	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
136	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
137	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
138	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	Negation	No intensifier
139	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
140	Modern subcorpus	Simplex	NPnom V NPacc NPins (confuse)	Singular	No negation	No intensifier
141	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
142	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
143	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	Negation	No intensifier
144	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
145	Modern subcorpus	Simplex	NPnom V CL (mix up)	Clause sentence	No negation	No intensifier
146	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
147	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
148	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
149	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
150	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
151	Modern subcorpus	Simplex	NPnom V NPacc (cover)	Plural	No negation	No intensifier
152	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	Negation	No intensifier
153	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
154	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
155	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
156	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
157	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
158	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
159	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
160	Modern subcorpus	Simplex	NPnom V CL (mix up)	Clause sentence	No negation	No intensifier
161	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
162	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
163	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
164	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
165	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
166	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
167	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
168	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
169	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
170	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
171	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
172	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
173	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	Negation	No intensifier
174	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
175	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
176	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
177	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
178	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
179	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
180	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
181	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
182	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	Negation	No intensifier
183	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
184	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
185	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
186	Modern subcorpus	Simplex	NPnom V Vinf NPacc и NPacc (mix up)	Plural	No negation	No intensifier
187	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
188	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
189	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	Negation	No intensifier
190	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
191	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
192	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
193	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
194	Modern subcorpus	Simplex	NPnom V NPacc (cover)	Plural	No negation	No intensifier
195	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	No negation	No intensifier
196	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	Negation	No intensifier
197	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
198	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
199	Modern subcorpus	Simplex	NPnom V NPacc (confuse)	Singular	Negation	No intensifier
200	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
201	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
202	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
203	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
204	Modern subcorpus	Simplex	NPnom V Vinf NPacc и NPacc (mix up)	Plural	Negation	No intensifier
205	Modern subcorpus	Simplex	Conj NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
206	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	No negation	No intensifier
207	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
208	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
209	Modern subcorpus	Simplex	NPnom V Vinf NPacc (mix up)	Plural	No negation	No intensifier
210	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
211	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
212	Modern subcorpus	Simplex	NPnom V NPacc (tangle)	Plural	No negation	No intensifier
213	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
214	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	Negation	No intensifier
215	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	Negation	No intensifier
216	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
217	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	Negation	No intensifier
218	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	Negation	No intensifier
219	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
220	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
221	Modern subcorpus	Simplex	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
222	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
223	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
224	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
225	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
226	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
227	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
228	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
229	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
230	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
231	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	Negation	No intensifier
232	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
233	Modern subcorpus	Simplex	NPnom V Vinf NPacc c NPins (mix up)	Plural	Negation	No intensifier
234	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
235	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
236	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	Negation	No intensifier
237	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
238	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
239	Modern subcorpus	Simplex	NPnom V NPacc (stammer)	Plural	No negation	No intensifier
240	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	No negation	No intensifier
241	Modern subcorpus	Simplex	NPnom V (mix up)	No direct object	Negation	No intensifier
242	Modern subcorpus	Simplex	NPnom V CL (mix up)	Clause sentence	No negation	No intensifier
243	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
244	Modern subcorpus	Simplex	NPnom V NPacc (stammer)	Plural	No negation	No intensifier
245	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
246	Modern subcorpus	Simplex	NPnom V NPacc c NPins (mix up)	Plural	Negation	No intensifier
247	Modern subcorpus	Simplex	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
